Date,Close,Predicted_Target
2024-01-02,293.2,-1
2024-01-03,297.2,1
2024-01-04,295.4,1
2024-01-05,288.8,1
2024-01-08,284.6,1
2024-01-09,280.2,-1
2024-01-10,276.8,-1
2024-01-11,284.0,1
2024-01-12,285.0,-1
2024-01-15,286.0,1
2024-01-16,279.0,-1
2024-01-17,271.2,1
2024-01-18,274.2,-1
2024-01-19,267.8,1
2024-01-22,258.8,1
2024-01-23,268.6,-1
2024-01-24,278.4,1
2024-01-25,287.4,-1
2024-01-26,279.4,-1
2024-01-29,278.6,-1
2024-01-30,270.4,1
2024-01-31,267.2,-1
2024-02-01,268.2,1
2024-02-02,276.0,-1
2024-02-05,276.2,-1
2024-02-06,287.4,-1
2024-02-07,288.8,1
2024-02-08,283.8,-1
2024-02-09,283.8,1
2024-02-14,286.6,1
2024-02-15,282.0,1
2024-02-16,288.4,-1
2024-02-19,281.4,-1
2024-02-20,280.8,1
2024-02-21,285.4,-1
2024-02-22,288.0,-1
2024-02-23,287.4,-1
2024-02-26,283.8,-1
2024-02-27,281.2,0
2024-02-28,273.6,-1
2024-02-29,273.8,-1
2024-03-01,274.0,1
2024-03-04,272.8,-1
2024-03-05,264.8,-1
2024-03-06,271.2,-1
2024-03-07,267.6,1
2024-03-08,266.6,1
2024-03-11,275.2,-1
2024-03-12,287.4,1
2024-03-13,287.2,-1
2024-03-14,285.8,0
2024-03-15,280.4,1
2024-03-18,286.4,-1
2024-03-19,281.6,1
2024-03-20,285.4,1
2024-03-21,287.8,-1
2024-03-22,285.4,0
2024-03-25,285.2,-1
2024-03-26,296.0,-1
2024-03-27,298.6,-1
2024-03-28,300.4,1
2024-04-02,305.8,1
2024-04-03,305.0,-1
2024-04-05,306.6,1
2024-04-08,302.0,0
2024-04-09,301.6,-1
2024-04-10,310.8,1
2024-04-11,311.6,0
2024-04-12,306.2,1
2024-04-15,301.0,-1
2024-04-16,298.4,-1
2024-04-17,297.4,1
2024-04-18,301.0,-1
2024-04-19,300.4,1
2024-04-22,317.0,-1
2024-04-23,329.0,0
2024-04-24,340.8,-1
2024-04-25,336.0,-1
2024-04-26,345.0,-1
2024-04-29,344.2,-1
2024-04-30,343.8,1
2024-05-02,357.0,1
2024-05-03,361.0,0
2024-05-06,366.8,-1
2024-05-07,362.4,0
2024-05-08,358.0,1
2024-05-09,366.4,1
2024-05-10,367.6,-1
2024-05-13,374.8,-1
2024-05-14,378.4,-1
2024-05-16,393.6,0
2024-05-17,395.0,-1
2024-05-20,395.0,1
2024-05-21,383.6,0
2024-05-22,384.4,-1
2024-05-23,381.8,-1
2024-05-24,377.0,0
2024-05-27,377.4,1
2024-05-28,380.2,-1
2024-05-29,371.0,-1
2024-05-30,368.0,0
2024-05-31,359.8,1
2024-06-03,375.0,1
2024-06-04,377.4,-1
2024-06-05,380.8,-1
2024-06-06,381.6,1
2024-06-07,374.8,-1
2024-06-11,373.8,1
2024-06-12,370.8,-1
2024-06-13,379.8,1
2024-06-14,379.8,-1
2024-06-17,381.2,1
2024-06-18,377.0,-1
2024-06-19,389.0,-1
2024-06-20,387.6,-1
2024-06-21,381.4,1
2024-06-24,380.4,-1
2024-06-25,382.0,-1
2024-06-26,382.0,1
2024-06-27,374.4,1
2024-06-28,372.4,-1
2024-07-02,369.2,0
2024-07-03,379.4,-1
2024-07-04,382.4,-1
2024-07-05,379.8,-1
2024-07-08,378.6,-1
2024-07-09,381.0,-1
2024-07-10,377.6,-1
2024-07-11,384.8,-1
2024-07-12,397.0,-1
2024-07-15,390.2,-1
2024-07-16,378.0,1
2024-07-17,371.8,-1
2024-07-18,369.2,-1
2024-07-19,364.0,1
2024-07-22,373.2,-1
2024-07-23,366.2,-1
2024-07-24,363.2,1
2024-07-25,351.2,1
2024-07-26,354.4,-1
2024-07-29,358.2,-1
2024-07-30,353.6,-1
2024-07-31,362.2,-1
2024-08-01,365.6,1
2024-08-02,358.2,1
2024-08-05,356.6,1
2024-08-06,354.4,-1
2024-08-07,363.4,-1
2024-08-08,368.2,-1
2024-08-09,370.0,0
2024-08-12,375.0,-1
2024-08-13,378.6,-1
2024-08-14,373.8,-1
2024-08-15,368.4,-1
2024-08-16,372.6,1
2024-08-19,372.6,-1
2024-08-20,370.4,-1
2024-08-21,371.6,-1
2024-08-22,377.8,-1
2024-08-23,375.6,-1
2024-08-26,382.0,1
2024-08-27,381.8,-1
2024-08-28,374.2,0
2024-08-29,377.6,-1
2024-08-30,382.0,-1
2024-09-02,377.8,-1
2024-09-03,378.2,1
2024-09-04,372.8,-1
2024-09-05,373.4,-1
2024-09-09,371.2,-1
2024-09-10,368.6,-1
2024-09-11,370.2,1
2024-09-12,372.6,-1
2024-09-13,374.8,1
2024-09-16,377.8,-1
2024-09-17,380.0,1
2024-09-19,388.8,-1
2024-09-20,388.6,-1
2024-09-23,387.6,-1
2024-09-24,402.2,1
2024-09-25,405.4,0
2024-09-26,430.0,-1
2024-09-27,437.8,1
2024-09-30,444.6,0
2024-10-02,470.0,1
2024-10-03,466.2,-1
2024-10-04,477.6,1
2024-10-07,478.4,-1
2024-10-08,438.6,1
2024-10-09,434.2,1
2024-10-10,438.8,-1
2024-10-14,436.0,0
2024-10-15,417.0,1
2024-10-16,415.8,1
2024-10-17,412.6,1
2024-10-18,430.8,1
2024-10-21,421.0,1
2024-10-22,421.6,-1
2024-10-23,428.2,-1
2024-10-24,422.0,-1
2024-10-25,421.0,1
2024-10-28,417.2,-1
2024-10-29,418.4,1
2024-10-30,411.0,-1
2024-10-31,404.6,-1
2024-11-01,419.2,-1
2024-11-04,419.0,1
2024-11-05,427.8,1
2024-11-06,419.8,-1
2024-11-07,428.4,1
2024-11-08,420.8,-1
2024-11-11,413.2,1
2024-11-12,403.8,-1
2024-11-13,403.8,-1
2024-11-14,403.4,-1
2024-11-15,401.0,-1
2024-11-18,404.2,0
2024-11-19,406.2,0
2024-11-20,410.8,-1
2024-11-21,407.6,-1
2024-11-22,400.6,1
2024-11-25,395.2,-1
2024-11-26,393.8,1
2024-11-27,402.8,-1
2024-11-28,400.0,1
2024-11-29,398.0,1
2024-12-02,399.8,-1
2024-12-03,404.4,-1
2024-12-04,403.2,-1
2024-12-05,405.2,-1
2024-12-06,412.6,-1
2024-12-09,418.8,-1
2024-12-10,411.2,-1
2024-12-11,409.8,-1
2024-12-12,415.6,1
2024-12-13,409.8,0
2024-12-16,405.6,-1
2024-12-17,402.6,1
2024-12-18,406.0,-1
2024-12-19,415.2,-1
2024-12-20,426.4,-1
2024-12-23,420.2,-1
2024-12-24,420.0,1
2024-12-27,417.4,-1
2024-12-30,419.0,-1
2024-12-31,417.0,-1
2025-01-02,416.0,-1
2025-01-03,414.2,-1
2025-01-06,409.4,0
2025-01-07,379.6,-1
2025-01-08,369.2,1
2025-01-09,373.4,-1
2025-01-10,369.6,1
2025-01-13,366.0,-1
2025-01-14,375.0,1
2025-01-15,380.0,-1
2025-01-16,382.4,-1
2025-01-17,379.8,1
2025-01-20,389.8,-1
2025-01-21,387.4,-1
2025-01-22,383.4,-1
2025-01-23,381.2,-1
2025-01-24,390.6,1
2025-01-27,395.6,-1
2025-01-28,401.2,1
2025-02-03,404.2,-1
2025-02-04,420.8,1
2025-02-05,417.8,1
2025-02-06,420.4,-1
2025-02-07,428.2,-1
2025-02-10,437.0,-1
2025-02-11,427.4,1
2025-02-12,444.2,1
2025-02-13,442.0,1
2025-02-14,474.8,1
2025-02-17,493.6,0
2025-02-18,503.5,-1
2025-02-19,497.8,-1
2025-02-20,486.8,1
2025-02-21,517.0,1
2025-02-24,497.2,1
2025-02-25,484.8,1
2025-02-26,501.5,-1
2025-02-27,495.4,-1
2025-02-28,478.6,1
2025-03-03,483.2,-1
2025-03-04,491.0,1
2025-03-05,505.5,-1
2025-03-06,544.0,1
2025-03-07,533.5,-1
2025-03-10,516.5,-1
2025-03-11,517.5,-1
2025-03-12,512.0,1
2025-03-13,507.5,1
2025-03-14,521.5,-1
2025-03-17,524.5,1
2025-03-18,541.0,1
2025-03-19,540.0,1
2025-03-20,519.5,-1
2025-03-21,511.5,1
2025-03-24,513.0,-1
2025-03-25,502.0,-1
2025-03-26,506.5,-1
2025-03-27,509.0,1
2025-03-28,509.5,-1
2025-03-31,497.0,-1
2025-04-01,504.0,-1
2025-04-02,504.0,1
2025-04-03,497.8,-1
2025-04-07,435.4,1
2025-04-08,440.4,1
2025-04-09,441.2,-1
2025-04-10,444.8,1
2025-04-11,443.4,-1
2025-04-14,454.0,1
2025-04-15,456.0,1
2025-04-16,448.0,1
2025-04-17,458.0,-1
2025-04-22,460.4,1
2025-04-23,474.2,-1
